Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,female,male
1,1,35.0,1,0,63.58,2,1,0
1,1,56.0,0,0,63.58,1,1,0
1,1,68.0,0,1,26.02,3,0,1
1,1,65.0,0,3,59.27,1,0,1
1,1,64.0,0,0,28.85,1,1,0
1,2,23.0,0,0,19.38,3,0,1
1,1,37.0,0,0,82.5,2,1,0
1,3,22.0,1,0,15.93,3,0,1
1,3,14.0,0,0,6.61,2,0,1
1,2,62.0,0,0,29.34,3,1,0
1,1,56.0,1,2,63.58,3,1,0
1,3,0.92,1,2,36.08,3,0,1
1,2,57.0,0,2,28.39,3,1,0
1,2,66.0,1,1,24.96,3,1,0
1,2,29.0,0,0,5.39,3,1,0
1,3,64.0,0,1,34.67,2,0,1
1,2,31.0,0,0,27.98,3,1,0
1,1,32.0,0,0,29.91,2,1,0
1,3,72.0,3,0,9.71,2,1,0
1,3,52.0,1,1,25.53,3,0,1
1,2,3.0,1,2,29.84,3,1,0
1,2,22.0,0,0,22.67,3,1,0
1,2,20.0,0,0,13.8,3,0,1
1,2,50.0,0,0,25.82,3,1,0
1,1,46.0,1,1,77.02,3,0,1
1,3,51.0,0,0,22.91,3,1,0
1,2,47.0,0,1,26.99,3,1,0
1,1,41.0,0,0,63.58,1,1,0
1,2,38.0,0,1,27.48,2,1,0
1,1,34.0,1,2,30.46,3,1,0
1,3,7.0,0,0,16.09,3,1,0
1,1,30.0,0,0,24.73,3,0,1
1,2,50.0,0,1,14.24,2,1,0
1,1,50.0,0,0,32.71,2,1,0
1,2,51.0,1,0,25.25,3,1,0
1,1,51.0,1,1,34.69,2,1,0
1,1,36.0,0,0,63.58,2,1,0
1,2,65.0,0,0,11.8,3,1,0
1,1,38.0,1,1,28.42,2,0,1
1,2,2.0,1,1,13.18,3,1,0
1,3,71.0,0,1,12.69,2,1,0
1,3,30.0,0,0,8.92,2,0,1
1,3,32.0,0,0,9.88,2,1,0
1,1,73.0,0,0,7.5,3,1,0
1,1,49.0,0,0,63.58,2,1,0
1,3,23.0,3,0,9.23,3,0,1
1,3,4.0,0,0,10.62,3,0,1
1,2,31.0,0,1,16.5,2,1,0
1,1,41.0,0,1,112.31,2,1,0
1,1,61.0,0,1,12.28,3,1,0
1,2,67.0,0,0,9.6,3,1,0
1,1,47.0,0,0,63.58,2,1,0
1,3,61.0,0,0,7.61,3,1,0
1,1,43.0,0,1,98.86,2,1,0
1,3,50.0,0,0,13.59,3,1,0
1,2,56.0,0,0,23.38,2,1,0
1,2,54.0,0,0,7.38,3,0,1
1,2,41.0,0,0,34.16,3,1,0
1,3,38.0,0,0,8.23,3,1,0
1,1,61.0,1,0,63.58,2,1,0
1,1,47.0,1,0,63.58,2,1,0
1,3,26.0,0,0,9.12,1,1,0
1,3,30.0,0,0,14.16,3,1,0
1,2,56.0,0,0,6.78,2,0,1
1,3,45.0,0,2,30.68,2,1,0
1,3,48.0,0,1,12.82,3,1,0
1,1,42.0,0,0,63.58,2,1,0
1,2,59.0,0,0,28.8,3,1,0
1,1,50.0,0,0,31.1,2,1,0
1,1,46.0,0,1,63.58,1,1,0
1,3,48.0,2,0,10.94,2,1,0
1,1,59.0,0,0,69.45,3,0,1
1,3,0.5,1,2,10.94,2,0,1
1,1,30.0,0,1,63.58,2,0,1
1,2,43.0,0,0,33.39,3,1,0
1,2,56.0,0,0,12.53,3,1,0
1,1,19.0,1,0,24.82,3,0,1
1,2,50.0,0,0,22.65,3,1,0
1,1,25.0,0,0,26.34,3,0,1
1,2,23.0,0,0,10.05,1,1,0
1,1,52.0,0,0,7.55,3,1,0
1,1,41.0,0,0,63.58,3,1,0
1,1,54.0,0,0,10.25,3,1,0
1,2,51.0,0,3,10.35,3,0,1
1,3,70.0,0,0,15.85,3,1,0
1,2,26.0,0,1,32.41,3,1,0
1,2,38.0,0,0,5.43,2,0,1
1,1,49.0,1,0,63.58,2,1,0
1,1,45.0,0,0,35.18,2,0,1
1,1,43.0,0,0,28.96,3,0,1
1,3,40.0,0,1,30.07,3,1,0
1,2,0.08,1,2,22.65,3,1,0
1,3,30.0,0,0,10.21,2,0,1
1,1,40.0,0,2,31.6,2,0,1
1,1,52.0,0,0,63.58,2,1,0
1,1,43.0,0,0,26.24,3,1,0
1,2,24.0,0,0,8.17,3,1,0
1,3,22.0,0,0,26.9,3,0,1
1,2,29.0,1,1,24.41,3,1,0
1,3,25.0,0,0,9.17,2,0,1
1,2,42.0,0,0,27.57,2,1,0
1,3,23.0,0,0,23.79,3,1,0
1,1,47.0,1,2,63.06,3,0,1
1,1,57.0,0,0,63.45,1,1,0
1,1,40.0,0,1,63.58,3,1,0
1,2,31.0,2,0,9.2,3,1,0
1,1,21.0,0,0,63.58,2,1,0
1,3,26.0,0,0,27.99,2,0,1
1,1,54.0,1,2,63.58,3,1,0
1,3,30.0,0,0,26.13,3,1,0
1,2,64.0,0,0,10.84,3,1,0
1,1,38.0,1,0,9.29,3,0,1
1,1,25.0,1,0,63.58,2,0,1
1,1,35.0,0,1,13.11,3,1,0
1,1,50.0,1,2,80.73,3,0,1
1,2,54.0,0,1,4.26,3,0,1
1,1,57.0,0,0,36.75,2,1,0
1,3,26.0,0,0,7.23,3,1,0
1,2,9.0,0,0,7.33,2,1,0
1,3,77.0,0,0,11.1,2,1,0
1,1,42.0,0,0,53.8,1,1,0
1,2,63.0,0,1,29.5,3,1,0
1,2,24.0,0,0,4.91,3,1,0
1,3,24.0,0,0,8.08,3,1,0
1,3,75.0,0,0,12.35,3,1,0
1,1,59.0,1,2,63.58,2,1,0
1,3,21.0,0,0,10.22,3,1,0
1,3,47.0,3,3,31.53,3,0,1
1,2,38.0,0,0,7.88,3,0,1
1,1,60.0,1,2,25.52,1,1,0
1,1,57.0,0,0,26.16,3,0,1
1,3,48.0,1,0,10.94,2,0,1
1,1,47.0,0,0,29.01,2,0,1
1,2,63.0,0,0,23.32,3,1,0
1,1,48.0,1,0,63.58,2,0,1
1,1,18.0,1,2,27.38,3,1,0
1,1,69.0,0,3,31.7,1,1,0
1,2,36.0,0,0,22.39,3,1,0
1,2,71.0,0,0,25.25,3,1,0
1,2,60.0,0,1,29.91,2,1,0
1,3,50.0,0,0,5.62,3,1,0
1,2,57.0,0,0,23.25,2,1,0
1,2,60.0,0,0,25.02,3,1,0
1,3,46.0,0,0,10.94,3,0,1
1,2,42.0,1,1,29.64,3,1,0
1,1,65.0,0,1,75.69,3,0,1
1,3,18.0,0,0,13.87,2,0,1
1,3,10.0,0,2,23.43,3,1,0
1,3,23.0,0,1,23.53,3,1,0
1,2,27.0,0,0,23.48,3,0,1
1,2,26.0,0,0,8.15,3,0,1
1,2,70.0,0,0,37.51,2,1,0
1,3,65.0,0,0,13.58,3,1,0
1,1,49.0,1,1,25.3,3,0,1
1,3,24.0,0,1,24.6,3,1,0
1,1,25.0,1,0,63.58,3,1,0
1,2,39.0,0,0,13.62,2,1,0
1,1,30.0,0,0,62.86,2,1,0
1,2,3.0,0,1,14.41,3,1,0
1,3,30.0,1,1,35.07,2,1,0
1,3,72.0,0,0,9.97,2,1,0
1,3,58.0,1,1,25.42,3,1,0
1,2,63.0,4,1,27.89,3,1,0
1,3,3.0,1,1,25.97,3,1,0
1,1,31.0,0,0,11.76,2,1,0
1,3,55.0,0,4,10.94,2,0,1
1,2,63.0,0,0,5.53,3,0,1
1,1,58.0,0,0,89.02,3,1,0
1,1,42.0,0,0,33.18,1,1,0
1,2,26.0,0,0,6.22,2,1,0
1,3,21.0,0,1,11.48,3,1,0
1,2,60.0,0,0,22.65,3,0,1
1,3,55.0,0,0,13.15,2,1,0
1,1,29.0,0,0,63.58,3,1,0
1,2,27.0,0,2,23.29,3,1,0
1,3,36.0,0,0,8.38,3,0,1
1,1,67.0,0,0,23.98,3,1,0
1,3,28.0,0,0,7.03,3,0,1
1,2,65.0,0,0,8.19,3,1,0
1,3,23.0,0,0,5.91,3,0,1
1,1,50.0,1,1,63.58,3,0,1
1,2,23.0,0,1,8.88,3,1,0
1,1,48.0,0,0,28.09,1,1,0
1,1,49.0,0,0,84.6,2,1,0
1,2,55.0,0,0,13.09,3,1,0
1,1,42.0,0,0,10.78,2,1,0
1,1,58.0,0,0,76.98,1,1,0
1,1,60.0,2,0,56.19,2,1,0
1,1,38.0,0,0,13.05,3,0,1
1,2,57.0,0,1,29.76,3,1,0
1,2,48.0,1,2,30.91,3,0,1
1,2,3.0,0,0,37.73,3,1,0
1,1,59.0,0,0,63.58,2,1,0
1,2,56.0,0,0,7.6,3,0,1
1,1,45.0,0,0,63.58,2,1,0
1,3,63.0,0,0,27.46,2,1,0
1,3,12.0,0,0,9.24,3,1,0
1,1,40.0,3,0,29.1,3,1,0
1,1,41.0,0,0,77.29,2,1,0
1,3,1.0,1,1,31.64,3,0,1
1,3,18.0,0,0,9.5,3,0,1
1,2,73.0,0,0,28.59,3,1,0
1,1,8.0,1,1,35.75,3,1,0
1,2,31.0,0,0,18.97,3,1,0
1,3,32.0,3,2,26.75,3,1,0
1,3,54.0,0,0,28.65,2,1,0
1,1,38.0,2,0,63.58,3,1,0
1,2,53.0,0,1,23.42,3,0,1
1,1,50.0,2,0,63.58,3,1,0
1,2,24.0,0,1,11.64,2,1,0
1,1,57.0,0,1,63.58,1,1,0
1,3,43.0,0,0,9.23,3,1,0
1,2,1.0,1,2,22.65,3,1,0
1,3,24.0,0,0,8.15,3,0,1
1,3,28.0,0,0,6.8,2,1,0
1,2,10.0,0,1,30.66,3,1,0
1,2,27.0,0,1,21.46,3,1,0
1,1,47.0,1,1,12.98,2,1,0
1,3,48.0,0,0,11.74,3,1,0
1,1,35.0,1,0,63.58,2,1,0
1,2,58.0,0,1,35.44,3,1,0
1,2,11.0,0,0,7.32,2,1,0
1,3,40.0,0,0,12.45,3,1,0
1,1,56.0,1,0,63.58,2,1,0
1,2,8.0,1,1,36.62,3,1,0
1,1,21.0,0,0,80.53,3,0,1
1,2,36.0,0,4,32.84,2,1,0
1,2,6.0,1,1,33.73,3,1,0
1,2,63.0,0,0,20.49,3,0,1
1,1,45.0,0,0,98.18,1,1,0
1,2,45.0,2,1,52.44,3,1,0
1,3,63.0,0,0,10.39,2,1,0
1,2,3.0,1,1,23.98,3,1,0
1,1,47.0,0,0,33.22,3,1,0
1,2,25.0,0,0,15.71,3,1,0
1,3,36.0,0,0,19.41,3,0,1
1,2,48.0,1,1,29.98,2,1,0
1,3,39.0,1,0,29.7,3,1,0
1,1,19.0,0,0,21.19,3,1,0
1,1,34.0,0,0,69.5,2,0,1
1,2,72.0,2,1,26.8,3,1,0
1,3,40.0,0,1,33.04,3,1,0
1,1,55.0,0,0,63.58,2,1,0
1,3,37.0,2,1,23.89,3,1,0
1,1,45.0,0,2,115.77,3,0,1
1,1,53.0,0,0,78.06,2,1,0
1,1,4.0,0,2,20.91,3,0,1
1,3,16.0,0,0,8.12,3,1,0
1,3,8.0,1,2,34.87,2,1,0
1,2,42.0,0,0,8.8,3,0,1
1,1,58.0,0,0,63.58,2,1,0
1,1,39.0,0,0,79.51,2,1,0
1,1,32.0,0,0,23.2,2,0,1
1,3,25.0,0,3,9.45,3,0,1
1,2,31.0,0,0,24.12,1,1,0
1,3,19.0,1,1,29.55,3,1,0
1,1,50.0,0,1,63.58,3,0,1
1,1,19.5,0,0,63.58,3,1,0
1,3,30.0,0,1,12.09,3,1,0
1,2,62.0,0,0,30.3,2,1,0
1,2,41.0,2,1,10.1,3,1,0
1,3,28.0,0,0,10.5,3,1,0
1,3,60.0,0,0,12.47,2,1,0
1,2,6.0,1,1,22.65,3,1,0
1,1,52.0,1,1,30.62,3,1,0
1,1,69.0,0,0,30.9,2,1,0
1,1,44.0,1,0,106.46,3,0,1
1,2,38.0,0,0,11.31,2,1,0
1,2,48.0,0,0,22.65,2,0,1
1,3,58.0,0,2,11.06,3,0,1
1,2,57.0,0,0,14.83,3,1,0
1,3,21.0,0,0,9.15,3,1,0
1,1,54.0,1,0,111.91,2,1,0
1,2,28.0,0,0,8.52,3,1,0
1,1,59.0,0,0,63.58,1,1,0
1,3,46.0,0,1,25.62,3,1,0
1,1,45.0,0,0,63.58,2,1,0
1,1,47.0,0,0,26.11,2,0,1
1,1,59.0,0,1,63.58,3,0,1
1,1,61.0,0,0,27.48,2,1,0
1,3,49.0,0,0,14.72,3,1,0
1,3,30.0,0,0,7.97,2,1,0
1,3,64.0,0,0,10.8,3,0,1
1,1,45.0,0,0,30.71,2,1,0
1,3,1.0,1,2,26.75,3,1,0
1,1,47.0,1,1,68.35,2,1,0
1,2,24.0,0,3,27.35,3,0,1
1,3,17.0,0,0,6.74,3,0,1
1,2,67.0,0,0,19.91,3,0,1
1,3,32.0,0,0,7.5,2,1,0
1,2,21.0,0,0,22.65,3,0,1
1,1,50.0,0,0,29.68,2,1,0
1,1,48.0,1,0,78.45,2,0,1
1,1,74.0,0,0,9.7,1,1,0
1,1,47.0,0,0,87.25,2,1,0
1,1,57.0,1,0,63.58,2,1,0
1,1,57.0,0,0,89.04,2,1,0
1,2,39.0,0,1,7.59,1,0,1
1,2,35.0,0,0,28.17,3,0,1
1,1,41.0,0,0,32.92,3,1,0
1,1,39.0,0,0,21.11,2,1,0
1,2,10.0,0,1,32.46,3,1,0
1,3,52.0,0,0,5.43,3,1,0
1,2,40.0,0,0,22.67,2,0,1
1,1,26.0,0,0,21.02,3,0,1
1,1,38.0,1,0,63.58,2,1,0
1,3,26.0,0,0,6.0,3,1,0
1,1,31.0,0,0,13.53,2,1,0
1,1,23.0,1,2,87.65,3,0,1
1,1,57.0,0,0,63.58,2,1,0
1,1,38.0,0,0,63.58,2,1,0
1,1,42.0,0,0,63.58,2,0,1
1,2,20.0,0,0,5.82,3,1,0
1,2,54.0,0,0,24.18,3,0,1
1,3,0.17,1,2,10.94,2,1,0
1,2,59.0,0,0,10.9,3,1,0
1,3,27.0,0,0,8.1,3,1,0
1,1,38.0,1,0,66.64,2,0,1
1,2,44.0,0,0,22.65,3,1,0
1,1,62.0,0,0,63.58,2,1,0
1,1,34.0,0,0,84.95,2,1,0
1,1,54.0,0,0,34.94,3,1,0
1,1,37.0,1,2,74.14,2,1,0
1,1,33.0,0,1,38.34,3,1,0
1,3,68.0,0,0,14.98,2,1,0
1,2,44.0,0,0,27.94,2,1,0
1,2,75.0,0,0,26.07,3,0,1
1,2,47.0,0,4,10.18,2,1,0
1,3,46.0,0,0,10.94,3,0,1
1,1,52.0,0,0,28.91,2,1,0
1,3,27.0,0,3,11.07,2,1,0
1,2,57.0,0,0,7.12,3,1,0
1,1,28.0,0,0,63.58,3,0,1
1,2,27.0,0,0,10.65,1,1,0
1,3,40.0,0,0,25.83,2,1,0
1,2,7.0,0,0,30.28,2,1,0
1,3,56.0,0,0,10.46,3,0,1
1,2,27.0,0,1,25.43,2,1,0
1,1,37.0,1,0,76.36,3,1,0
1,1,65.0,0,0,27.3,2,0,1
1,3,28.0,1,2,10.94,3,1,0
1,2,44.0,0,0,6.81,2,1,0
1,2,35.0,0,0,28.77,3,0,1
1,1,46.0,0,0,34.42,2,1,0
1,1,64.0,0,0,63.58,2,1,0
1,1,40.0,0,0,17.76,3,1,0
1,3,47.0,0,0,7.55,3,1,0
1,2,13.0,0,1,28.05,2,1,0
1,1,50.0,0,0,63.58,2,1,0
1,1,55.0,0,0,27.5,2,1,0
1,1,22.0,0,0,11.29,3,0,1
1,1,32.0,0,0,63.58,2,1,0
1,1,54.0,0,0,63.58,3,1,0
1,1,61.0,0,0,37.12,2,1,0
1,2,73.0,0,3,10.37,2,1,0
1,3,53.0,2,0,25.88,3,0,1
1,1,5.0,1,0,73.28,2,0,1
1,2,26.0,0,0,10.54,2,1,0
1,1,36.0,0,0,29.49,2,0,1
1,3,27.0,0,0,11.18,3,1,0
1,2,59.0,0,0,6.82,1,1,0
1,3,40.0,0,0,8.03,3,0,1
1,1,57.0,0,0,63.58,2,1,0
1,1,50.0,1,0,63.58,3,1,0
1,3,37.0,0,0,6.02,3,0,1
1,1,47.0,0,0,60.02,1,1,0
1,2,19.0,0,2,11.85,2,1,0
1,1,31.0,1,2,63.58,2,1,0
1,1,65.0,0,2,63.58,1,1,0
1,1,36.0,1,0,104.84,3,0,1
1,2,25.0,0,0,23.79,2,1,0
1,1,33.0,0,0,63.58,2,1,0
1,2,57.0,0,0,12.47,2,1,0
1,3,70.0,1,0,29.79,3,1,0
1,1,30.0,1,0,63.58,3,1,0
1,1,71.0,0,3,30.85,3,1,0
1,2,9.0,0,1,33.78,2,1,0
1,2,52.0,1,3,25.0,3,1,0
1,1,47.0,0,0,30.98,2,0,1
1,2,52.0,0,0,25.7,2,0,1
1,3,43.0,0,0,9.09,3,0,1
1,1,40.0,0,0,63.58,2,1,0
1,3,3.0,1,2,34.74,3,1,0
1,1,51.0,0,0,63.58,2,1,0
1,3,76.0,0,1,28.74,2,1,0
1,1,30.0,1,0,63.58,2,1,0
1,2,33.0,0,0,30.7,2,0,1
1,3,30.0,0,1,31.84,2,1,0
1,1,50.0,0,0,63.58,2,1,0
1,3,42.0,0,0,8.74,3,1,0
1,1,54.0,0,2,81.6,3,0,1
1,1,39.0,2,0,24.9,3,1,0
1,2,23.0,1,1,32.36,3,1,0
1,2,29.0,0,0,24.27,3,0,1
1,1,20.0,0,0,63.58,3,0,1
1,2,39.0,0,0,22.86,3,1,0
1,1,40.0,0,0,8.27,2,1,0
1,3,1.0,1,2,10.94,2,1,0
1,2,21.0,0,0,12.83,3,1,0
1,2,38.0,0,0,19.79,2,0,1
1,1,51.0,0,0,68.18,2,1,0
1,2,56.0,0,0,31.93,3,0,1
1,3,31.0,0,0,10.03,3,0,1
1,2,50.0,0,0,8.47,3,1,0
1,1,41.0,1,0,63.58,3,0,1
1,1,47.0,0,0,72.16,3,1,0
1,1,44.0,0,0,30.57,2,1,0
1,1,54.0,1,1,63.58,3,1,0
1,3,54.0,0,0,16.63,3,1,0
1,1,22.0,0,0,72.66,2,1,0
1,2,62.0,0,0,22.65,2,1,0
1,3,54.0,1,1,10.71,3,1,0
1,2,8.0,1,0,22.2,3,1,0
1,1,46.0,1,0,30.98,3,1,0
1,2,35.0,0,0,11.7,2,1,0
1,1,30.0,1,2,77.96,2,0,1
1,1,40.0,1,0,53.97,1,1,0
1,2,24.0,0,0,10.19,2,1,0
1,1,39.0,0,0,13.25,2,1,0
1,1,60.0,0,0,13.16,1,1,0
1,2,50.0,0,0,12.61,3,0,1
1,3,69.0,2,2,24.58,3,1,0
1,3,56.0,0,0,32.88,1,1,0
1,1,40.0,0,0,11.78,2,1,0
1,1,34.0,0,0,90.11,2,1,0
1,1,31.0,0,0,63.58,2,1,0
1,1,62.0,0,0,60.57,1,1,0
1,1,34.0,0,0,63.58,2,0,1
1,3,47.0,2,0,9.38,3,1,0
1,3,3.0,1,2,32.14,2,1,0
1,2,41.0,1,0,33.85,2,1,0
1,1,36.0,0,0,63.58,2,1,0
1,1,57.0,0,2,62.91,2,1,0
1,2,38.0,0,0,6.27,2,1,0
1,2,5.0,1,1,22.65,3,0,1
1,3,21.0,0,0,10.94,2,0,1
1,3,57.0,0,0,9.79,3,1,0
1,3,23.0,0,0,32.48,3,0,1
1,3,9.0,0,0,11.88,3,0,1
1,1,33.0,1,2,67.57,2,0,1
1,3,29.0,2,0,12.77,3,1,0
1,1,68.0,0,0,89.61,1,1,0
1,2,48.0,0,0,26.16,3,1,0
1,1,45.0,0,0,22.76,3,0,1
1,2,23.0,3,0,33.53,3,0,1
1,1,50.0,0,0,63.58,2,1,0
1,3,30.0,1,2,28.26,3,1,0
1,3,27.0,0,1,13.32,3,1,0
1,3,59.0,0,0,16.08,3,1,0
1,1,73.0,0,3,72.04,2,1,0
1,2,53.0,0,0,22.65,3,1,0
1,3,30.0,0,0,10.94,1,1,0
1,2,58.0,0,0,29.09,3,1,0
1,2,37.0,0,0,27.95,3,1,0
1,3,18.0,0,0,30.06,3,1,0
1,2,50.0,1,0,24.27,2,1,0
1,1,31.0,0,0,29.79,3,0,1
1,3,54.0,2,0,12.93,3,1,0
1,1,59.0,1,0,29.54,2,1,0
1,2,46.0,0,0,11.37,3,1,0
1,3,25.0,0,0,9.26,2,0,1
1,3,33.0,0,0,10.11,3,0,1
1,3,48.0,0,0,14.02,3,1,0
1,1,27.0,0,0,63.58,2,1,0
1,2,61.0,0,0,27.62,2,0,1
1,1,30.0,0,0,62.86,2,1,0
1,2,43.0,0,0,25.41,3,1,0
1,2,17.0,0,0,23.42,3,1,0
1,1,53.0,0,0,20.9,3,0,1
1,1,31.0,0,0,82.84,2,0,1
1,1,65.0,0,0,63.58,1,1,0
1,1,41.0,0,0,25.27,2,1,0
1,1,37.0,1,1,34.74,3,1,0
1,3,25.0,3,0,8.95,3,1,0
1,1,45.0,0,0,112.65,2,0,1
1,2,38.0,1,1,31.49,3,0,1
1,3,11.0,3,0,31.44,3,1,0
1,1,62.0,1,0,32.84,1,1,0
1,1,37.0,1,0,34.8,3,0,1
1,1,56.0,0,0,29.88,3,1,0
1,2,53.0,0,1,25.09,3,1,0
1,1,51.0,0,0,83.57,3,1,0
1,3,7.0,5,1,10.98,3,0,1
1,2,33.0,1,1,22.65,3,0,1
1,3,20.0,0,0,6.93,3,0,1
1,1,7.0,3,2,29.53,2,1,0
1,2,46.0,0,0,10.92,3,1,0
1,2,38.0,1,2,34.78,2,1,0
1,2,47.0,0,1,18.92,3,1,0
1,1,53.0,0,0,63.58,2,0,1
1,1,30.0,2,2,63.58,2,1,0
1,3,2.0,1,1,30.69,3,0,1
1,1,65.0,0,1,88.54,3,1,0
1,1,49.0,0,0,114.9,2,0,1
1,2,49.0,0,0,6.42,3,0,1
1,3,10.0,0,1,25.94,3,1,0
1,2,64.0,0,0,29.74,2,1,0
1,3,51.0,1,1,27.8,3,0,1
1,1,36.0,1,0,80.74,3,1,0
1,1,47.0,1,1,63.58,3,1,0
1,1,55.0,1,0,96.02,1,1,0
1,1,38.0,0,0,63.58,3,1,0
1,1,61.0,0,0,80.17,2,1,0
1,2,69.0,0,0,31.51,2,1,0
1,1,27.0,1,1,63.58,3,1,0
1,1,52.0,0,0,72.35,2,0,1
1,1,31.0,0,0,32.38,3,1,0
1,3,20.0,3,1,10.75,3,1,0
1,1,63.0,0,0,63.58,1,1,0
1,2,9.0,0,1,25.29,2,1,0
1,3,37.0,0,0,23.61,2,0,1
1,3,26.0,0,0,9.11,3,0,1
1,2,22.0,0,0,29.94,3,0,1
1,1,40.0,2,0,26.47,2,1,0
1,3,36.0,0,0,14.06,2,1,0
1,1,42.0,0,0,63.58,2,1,0
1,2,51.0,0,0,21.12,2,0,1
1,1,51.0,1,0,27.43,3,0,1
1,1,52.0,0,0,63.58,2,1,0
1,2,25.0,0,0,7.18,3,1,0
1,3,25.0,0,0,26.97,2,1,0
1,2,23.0,1,1,28.98,3,1,0
1,1,38.0,0,0,63.58,2,1,0
1,3,8.0,0,1,13.54,2,1,0
1,2,48.0,0,0,24.27,2,1,0
1,1,51.0,0,0,63.58,2,1,0
1,2,65.0,0,2,9.07,2,1,0
1,1,48.0,0,2,81.72,2,0,1
1,1,47.0,1,0,63.58,3,0,1
1,3,57.0,2,1,26.87,2,1,0
1,2,67.0,0,1,11.71,1,1,0
1,2,61.0,0,0,21.57,3,1,0
1,3,20.0,0,0,6.93,3,0,1
1,2,2.0,0,1,33.64,2,0,1
1,3,1.0,1,2,10.94,3,1,0
1,1,62.0,2,2,35.22,3,1,0
1,3,48.0,0,0,11.58,2,0,1
1,1,52.0,0,0,8.39,2,1,0
1,2,5.0,1,1,33.03,3,0,1
1,3,3.0,1,1,27.85,1,0,1
1,3,5.0,0,0,27.24,2,1,0
1,3,43.0,0,0,11.73,3,0,1
1,2,41.0,0,0,25.93,3,1,0
1,1,4.0,0,0,10.71,3,0,1
1,2,53.0,0,0,5.66,1,0,1
1,1,55.0,1,0,34.78,1,1,0
1,1,25.0,0,0,67.07,3,1,0
1,1,28.0,0,0,10.21,2,0,1
1,2,24.0,0,0,10.06,3,1,0
1,1,56.0,0,0,14.18,2,1,0
1,1,58.0,0,0,106.64,1,1,0
1,1,63.0,0,0,30.12,2,1,0
1,3,27.0,0,0,33.29,2,1,0
1,2,65.0,0,2,9.07,2,1,0
1,1,59.0,0,0,108.54,3,1,0
1,1,57.0,0,0,21.45,2,0,1
1,3,21.0,0,1,15.5,3,1,0
1,1,34.0,0,0,23.79,2,1,0
1,3,4.0,0,0,10.05,3,1,0
1,2,3.0,1,1,22.65,3,1,0
1,3,29.0,1,2,28.38,3,0,1
1,3,22.0,0,0,8.41,2,1,0
1,2,55.0,0,0,26.28,3,0,1
1,3,0.67,1,2,29.16,2,1,0
1,2,64.0,0,2,30.66,3,0,1
1,1,35.0,0,0,66.34,2,0,1
1,1,44.0,0,0,55.58,1,1,0
1,1,40.0,0,0,34.28,2,1,0
1,2,59.0,0,0,20.28,2,0,1
1,1,39.0,0,0,32.4,2,0,1
1,2,36.0,0,2,32.73,3,0,1
1,2,30.0,0,0,30.55,3,1,0
1,3,18.0,0,0,10.51,3,1,0
1,3,30.0,1,1,27.56,3,1,0
1,1,56.0,0,0,71.56,2,1,0
1,2,50.0,0,0,8.22,2,0,1
1,2,51.0,1,1,32.23,3,1,0
1,3,28.0,0,1,10.74,3,1,0
1,3,25.0,0,0,11.01,1,0,1
1,1,40.0,2,2,63.58,2,0,1
1,2,61.0,0,0,14.78,3,1,0
1,3,36.0,1,0,8.18,3,1,0
1,1,58.0,0,0,63.58,2,0,1
1,2,38.0,0,1,24.75,3,1,0
1,3,3.0,1,2,31.4,2,1,0
