PassengerId,Survived,Pclass,Age,Fare,female,male,C,Q,S,Family
46,0,3,71.0,25.6,0,1,1,0,0,0
47,0,1,43.0,61.21,0,1,0,0,1,0
48,1,2,66.0,26.48,0,1,0,0,1,0
49,0,3,22.0,9.29,0,1,0,1,0,3
50,1,1,63.0,80.11,0,1,1,0,0,0
51,0,2,47.0,72.45,1,0,1,0,0,6
52,0,1,45.0,67.23,0,1,0,0,1,1
53,1,1,34.0,88.88,1,0,1,0,0,1
54,0,1,31.0,24.33,0,1,0,0,1,3
55,0,3,3.0,80.84,0,1,0,0,1,3
56,1,1,27.0,93.36,0,1,1,0,0,0
57,1,1,28.0,13.31,1,0,0,0,1,1
58,0,3,37.0,10.46,0,1,0,0,1,0
59,0,1,64.0,9.11,0,1,0,0,1,0
60,1,3,39.0,11.49,1,0,0,0,1,0
61,1,2,58.0,24.39,0,1,0,0,1,0
62,0,2,56.0,71.39,0,1,0,0,1,0
64,0,3,30.0,10.69,0,1,0,0,1,0
65,1,2,40.0,24.17,1,0,0,0,1,0
66,1,1,5.0,69.41,1,0,1,0,0,1
67,0,1,38.0,27.7,0,1,0,0,1,3
68,1,1,40.0,92.34,1,0,1,0,0,0
69,0,3,21.0,9.89,0,1,0,0,1,0
70,0,1,40.0,28.44,0,1,0,0,1,3
71,0,2,5.0,29.33,0,1,0,0,1,2
72,0,2,56.0,6.71,0,1,0,0,1,0
73,1,1,47.0,31.72,1,0,1,0,0,0
74,0,3,20.0,7.71,0,1,0,0,1,0
75,1,3,27.0,13.32,1,0,0,0,1,0
76,1,2,61.0,7.87,1,0,0,0,1,0
77,0,3,23.0,5.04,0,1,0,0,1,0
78,1,2,67.0,11.91,1,0,1,0,0,0
79,1,3,8.0,24.84,1,0,0,0,1,1
80,0,2,66.0,7.26,0,1,0,0,1,0
81,0,3,60.0,12.47,0,1,0,0,1,0
82,1,1,70.0,104.43,1,0,0,1,0,0
83,0,3,25.0,13.86,1,0,0,0,1,0
84,0,2,11.0,9.12,1,0,0,0,1,0
85,0,3,22.0,7.11,0,1,0,0,1,0
86,0,2,28.0,5.09,0,1,0,0,1,0
87,0,3,39.0,9.78,0,1,0,0,1,0
88,0,3,27.0,6.04,0,1,0,0,1,0
89,0,1,54.0,21.79,0,1,0,0,1,1
90,1,3,54.0,6.76,1,0,1,0,0,0
91,0,1,50.0,8.82,0,1,0,0,1,3
92,0,3,49.0,5.34,0,1,0,0,1,0
93,0,2,39.0,4.67,0,1,0,0,1,0
94,1,3,59.0,24.93,1,0,1,0,0,0
95,1,2,53.0,32.24,1,0,0,0,1,0
96,1,2,28.0,26.46,1,0,0,1,0,0
97,1,1,56.0,131.28,1,0,0,1,0,0
98,1,2,8.0,27.88,1,0,0,0,1,0
100,1,2,38.0,26.32,0,1,0,1,0,0
101,1,1,52.0,11.99,1,0,1,0,0,0
102,0,3,30.0,7.17,0,1,0,0,1,0
103,0,2,66.0,20.27,0,1,0,0,1,0
104,0,1,48.0,124.81,0,1,0,0,1,3
105,1,3,64.0,6.4,1,0,0,0,1,0
106,1,3,41.0,13.81,1,0,0,0,1,0
107,1,1,40.0,28.05,1,0,1,0,0,1
109,0,1,54.0,170.0,1,0,0,1,0,3
110,0,2,38.0,19.98,0,1,0,0,1,0
111,1,3,35.0,23.05,0,1,0,0,1,0
112,0,3,39.0,8.29,1,0,0,0,1,0
113,0,2,32.0,7.43,0,1,0,0,1,0
114,1,3,25.0,10.56,1,0,0,0,1,0
115,0,1,28.0,27.81,0,1,0,0,1,2
116,0,1,62.0,129.79,1,0,1,0,0,0
117,0,2,60.0,22.56,0,1,0,0,1,0
118,0,1,53.0,102.26,1,0,0,1,0,0
119,1,1,55.0,25.27,1,0,1,0,0,1
120,0,3,68.0,24.72,0,1,0,0,1,0
121,0,1,34.0,7.16,0,1,0,0,1,0
122,0,2,65.0,23.8,0,1,0,0,1,0
123,0,3,69.0,23.15,0,1,0,0,1,0
124,0,3,55.0,10.4,0,1,0,0,1,1
125,1,1,56.0,22.36,1,0,0,1,0,1
126,1,3,6.0,32.07,0,1,0,0,1,3
127,1,2,34.0,26.8,0,1,0,0,1,0
128,0,3,49.0,9.07,1,0,0,0,1,0
129,1,1,28.0,22.13,0,1,0,0,1,0
130,1,2,27.0,30.03,1,0,1,0,0,1
131,1,2,57.0,11.28,0,1,0,0,1,1
132,1,2,35.0,6.96,1,0,0,0,1,0
133,0,3,6.0,72.74,0,1,0,0,1,1
134,1,2,40.0,8.51,0,1,0,0,1,0
135,0,1,54.0,84.93,1,0,0,1,0,3
136,0,3,25.0,9.61,0,1,0,0,1,0
137,1,1,47.0,56.04,1,0,0,1,0,0
138,1,2,46.0,28.58,1,0,1,0,0,1
139,0,1,39.0,60.76,0,1,0,0,1,3
140,0,1,37.0,22.3,0,1,0,0,1,1
141,0,2,37.0,24.79,1,0,0,0,1,0
142,0,1,52.0,26.28,0,1,0,0,1,3
143,0,1,52.0,23.01,0,1,0,0,1,3
144,0,3,2.0,37.14,1,0,0,0,1,3
145,0,1,36.0,23.31,0,1,0,0,1,0
146,1,1,58.0,214.02,1,0,1,0,0,0
147,0,1,49.0,73.2,0,1,0,0,1,3
148,0,1,52.0,62.41,0,1,0,0,1,3
149,0,3,21.0,10.77,0,1,0,0,1,0
150,0,1,42.0,209.71,1,0,1,0,0,2
151,1,2,53.0,25.21,1,0,1,0,0,0
152,1,1,63.0,16.6,1,0,0,0,1,0
153,1,3,29.0,14.1,1,0,0,0,1,0
154,1,2,23.0,7.74,0,1,0,0,1,0
155,0,3,21.0,137.11,0,1,0,0,1,1
156,0,2,59.0,34.21,0,1,0,0,1,5
157,0,1,31.0,31.55,1,0,0,0,1,0
158,0,3,26.0,7.42,0,1,0,0,1,0
159,1,1,51.0,76.1,1,0,0,0,1,2
160,0,3,41.0,26.05,1,0,0,0,1,0
161,1,2,45.0,34.1,1,0,0,0,1,2
162,1,1,41.0,29.9,1,0,0,1,0,0
163,0,3,29.0,8.62,0,1,0,0,1,0
164,1,3,49.0,21.66,0,1,0,0,1,0
165,1,3,62.0,30.29,1,0,1,0,0,0
166,1,1,55.0,22.55,1,0,0,1,0,0
167,0,3,49.0,10.67,0,1,0,0,1,0
168,0,3,51.0,29.77,0,1,0,0,1,0
169,1,3,14.0,26.36,1,0,1,0,0,4
170,1,3,29.0,28.06,1,0,1,0,0,0
171,1,1,52.0,33.45,1,0,1,0,0,0
172,1,2,44.0,12.7,1,0,0,1,0,0
173,0,3,35.0,11.03,0,1,0,0,1,0
174,1,1,41.0,32.92,1,0,0,0,1,0
175,1,1,67.0,30.74,1,0,0,1,0,5
176,1,1,22.0,13.32,1,0,1,0,0,3
177,0,1,24.0,23.32,0,1,0,0,1,0
178,1,1,52.0,116.92,1,0,1,0,0,0
179,0,2,23.0,30.69,0,1,0,0,1,1
180,0,3,30.0,25.89,0,1,0,0,1,1
181,1,2,27.0,7.88,1,0,1,0,0,0
182,0,3,56.0,10.26,0,1,0,0,1,0
183,0,2,38.0,21.92,1,0,0,1,0,1
184,1,2,64.0,29.68,1,0,0,0,1,1
185,0,3,3.0,35.32,0,1,0,0,1,3
186,1,2,51.0,34.19,1,0,0,0,1,0
187,0,3,51.0,5.33,1,0,0,0,1,0
188,1,2,71.0,63.51,1,0,0,0,1,0
189,1,1,50.0,29.99,1,0,1,0,0,0
190,0,3,33.0,10.29,0,1,0,0,1,1
191,0,1,38.0,8.49,0,1,0,0,1,0
192,0,1,53.0,56.27,1,0,0,0,1,6
193,0,1,30.0,26.95,0,1,1,0,0,0
194,0,2,39.0,11.42,0,1,0,0,1,2
195,0,3,18.0,10.08,0,1,0,0,1,0
196,0,1,41.0,23.92,0,1,0,0,1,0
197,0,3,34.0,28.83,0,1,0,0,1,0
198,0,3,60.0,8.99,0,1,0,0,1,0
199,0,3,23.0,8.13,0,1,0,0,1,0
200,1,2,38.0,29.33,1,0,0,0,1,1
201,1,3,28.0,26.24,0,1,0,0,1,0
202,1,1,30.0,12.19,1,0,1,0,0,0
203,1,2,79.0,28.5,1,0,1,0,0,0
204,1,3,12.0,12.51,1,0,1,0,0,9
205,1,3,9.0,13.66,1,0,0,0,1,0
206,1,2,32.0,28.77,1,0,1,0,0,0
207,1,1,24.0,217.63,1,0,0,0,1,1
208,0,1,48.0,72.71,0,1,1,0,0,0
209,1,2,51.0,20.68,0,1,0,0,1,3
210,1,1,68.0,8.21,1,0,0,1,0,0
211,1,1,62.0,28.75,1,0,1,0,0,4
212,1,3,30.0,30.33,0,1,0,0,1,3
213,0,3,36.0,9.56,0,1,0,0,1,0
214,0,1,60.0,70.35,1,0,0,0,1,3
215,0,1,0.83,10.53,0,1,0,0,1,1
216,1,1,52.0,11.48,1,0,0,0,1,0
217,0,3,43.0,2.37,0,1,0,0,1,0
218,0,3,26.0,29.39,0,1,0,0,1,2
219,0,3,2.0,29.76,0,1,0,0,1,3
220,0,3,40.0,20.95,0,1,0,0,1,0
221,0,3,1.0,33.86,1,0,0,0,1,2
222,0,3,12.0,30.19,1,0,1,0,0,5
223,0,1,64.0,27.77,0,1,0,1,0,0
224,0,3,27.0,9.54,0,1,0,0,1,0
225,1,2,31.0,13.65,1,0,0,1,0,0
226,0,3,6.0,10.34,1,0,0,0,1,3
227,1,2,15.0,10.32,1,0,1,0,0,1
228,1,3,0.5,33.92,1,0,0,0,1,3
229,1,3,60.0,6.61,1,0,0,0,1,0
230,1,1,51.0,241.96,1,0,1,0,0,0
231,1,2,10.0,29.44,1,0,0,0,1,1
232,1,3,28.0,29.88,1,0,1,0,0,0
233,1,2,46.0,24.36,0,1,0,0,1,1
234,0,2,34.0,8.08,0,1,0,0,1,0
235,1,1,33.0,27.18,0,1,1,0,0,0
236,0,1,30.0,104.6,1,0,0,0,1,0
237,1,1,72.0,29.96,1,0,1,0,0,0
238,1,2,42.0,31.5,1,0,1,0,0,0
239,1,2,15.0,35.89,1,0,0,0,1,2
240,0,3,5.0,14.49,0,1,1,0,0,0
241,0,1,29.0,29.36,0,1,0,0,1,0
242,0,2,44.0,7.68,0,1,0,0,1,0
243,1,2,62.0,8.23,1,0,0,0,1,0
244,0,3,33.0,33.66,1,0,0,0,1,1
245,0,3,46.0,62.81,0,1,0,0,1,0
246,1,1,47.0,31.26,1,0,0,0,1,1
247,0,3,24.5,10.55,1,0,1,0,0,0
248,1,3,5.0,88.63,1,0,1,0,0,3
249,0,3,23.0,8.68,0,1,0,0,1,0
250,0,3,29.0,25.11,0,1,0,1,0,0
251,0,3,52.0,23.69,0,1,0,0,1,0
252,1,2,51.0,27.17,0,1,1,0,0,1
253,0,3,11.0,9.87,1,0,0,0,1,3
254,0,1,28.0,69.47,0,1,0,0,1,0
255,1,1,43.0,239.46,1,0,1,0,0,0
256,1,1,35.0,26.79,0,1,0,0,1,1
257,1,2,38.0,23.4,1,0,0,0,1,0
258,0,3,20.0,8.89,0,1,0,0,1,0
259,0,3,6.0,31.35,0,1,0,0,1,0
260,0,3,30.0,9.5,0,1,0,0,1,0
261,1,1,77.0,30.98,1,0,0,1,0,1
262,1,2,38.0,32.62,1,0,0,0,1,1
263,0,3,40.0,7.54,1,0,1,0,0,0
264,0,2,42.0,8.9,0,1,0,0,1,0
265,0,2,5.0,84.24,0,1,0,0,1,2
266,0,3,26.0,7.02,0,1,0,0,1,0
267,1,1,24.0,79.6,1,0,1,0,0,0
268,1,1,47.0,32.46,0,1,1,0,0,0
269,1,1,39.0,32.28,1,0,1,0,0,0
270,0,3,21.0,15.75,1,0,0,0,1,0
271,0,3,37.0,26.71,0,1,0,0,1,2
272,0,3,19.0,9.83,0,1,0,0,1,0
273,1,2,57.0,7.75,1,0,1,0,0,0
274,0,1,44.0,72.07,0,1,1,0,0,0
275,0,1,54.0,112.09,0,1,0,1,0,4
276,0,2,56.0,9.0,1,0,0,0,1,0
277,0,2,41.0,11.25,0,1,0,0,1,2
278,0,2,27.0,26.98,0,1,0,0,1,0
279,0,3,61.0,23.09,0,1,0,0,1,0
280,0,2,8.0,26.69,0,1,0,0,1,5
281,0,2,54.0,8.31,1,0,0,1,0,0
282,0,2,25.0,7.69,0,1,0,0,1,0
283,0,2,7.0,9.1,1,0,0,0,1,0
284,0,3,35.0,8.08,0,1,0,0,1,1
285,0,3,20.0,9.19,0,1,0,0,1,0
286,0,3,40.0,9.67,0,1,0,0,1,1
287,0,2,5.0,31.04,0,1,0,0,1,2
288,0,3,20.0,9.03,0,1,0,0,1,0
289,0,1,44.0,136.1,1,0,1,0,0,1
290,0,2,32.0,6.04,0,1,0,0,1,0
291,1,1,32.0,115.62,0,1,0,0,1,1
292,1,2,24.0,68.5,1,0,0,0,1,2
293,1,1,31.0,75.63,0,1,1,0,0,3
294,0,3,35.0,9.55,0,1,0,0,1,0
295,0,2,62.0,9.46,0,1,0,0,1,0
296,0,1,37.0,35.16,0,1,1,0,0,0
297,0,3,45.0,6.39,0,1,0,0,1,0
298,1,2,73.0,29.74,1,0,0,0,1,2
299,0,1,48.0,30.02,0,1,0,0,1,0
300,1,1,44.0,24.47,0,1,0,0,1,3
301,1,3,7.0,29.9,1,0,0,1,0,0
302,0,3,26.0,13.14,0,1,0,0,1,0
303,1,1,47.0,30.56,0,1,1,0,0,3
304,0,3,38.0,10.41,0,1,0,0,1,0
305,1,1,51.0,91.55,1,0,1,0,0,0
306,0,2,42.0,22.47,0,1,0,0,1,1
307,0,3,8.0,11.24,0,1,0,0,1,0
308,1,1,49.0,19.24,0,1,0,0,1,0
309,0,3,43.0,26.59,0,1,0,0,1,0
310,1,3,60.0,27.56,0,1,0,0,1,2
311,1,1,58.0,69.68,1,0,0,0,1,2
312,1,1,40.0,67.98,1,0,1,0,0,1
313,0,3,7.0,56.84,0,1,0,0,1,4
314,1,2,23.0,10.06,1,0,1,0,0,0
315,0,1,61.0,102.65,1,0,0,1,0,0
316,0,1,28.0,9.77,0,1,0,0,1,0
317,0,3,27.0,7.97,1,0,0,0,1,0
318,1,1,57.0,210.17,1,0,0,1,0,1
319,0,3,21.0,10.85,1,0,0,0,1,0
320,1,3,40.0,25.97,1,0,0,0,1,2
321,0,3,52.0,6.62,0,1,0,0,1,0
323,0,3,22.0,9.27,0,1,0,0,1,0
324,0,3,14.0,10.83,1,0,1,0,0,0
325,1,3,32.0,30.95,0,1,0,0,1,4
326,0,1,50.0,29.18,0,1,0,0,1,0
327,0,2,29.0,15.51,1,0,0,0,1,0
328,1,3,53.0,12.14,1,0,0,0,1,1
329,0,1,49.0,187.55,0,1,0,0,1,2
330,0,2,27.0,20.03,0,1,0,0,1,0
331,0,1,53.0,78.65,1,0,0,0,1,2
332,1,3,63.0,27.72,1,0,0,0,1,1
333,1,2,25.0,10.04,0,1,0,0,1,0
334,0,3,51.0,7.5,0,1,0,0,1,0
335,1,2,38.0,25.63,1,0,0,1,0,0
336,1,1,44.0,33.11,1,0,0,0,1,0
337,0,3,52.0,11.23,0,1,0,0,1,2
338,1,3,26.0,27.45,1,0,0,0,1,1
339,1,1,52.0,72.35,0,1,1,0,0,0
340,0,1,70.0,11.0,0,1,0,0,1,0
341,1,1,36.0,28.73,1,0,0,0,1,1
342,0,3,2.0,8.16,0,1,0,0,1,0
343,0,1,48.0,81.98,1,0,0,0,1,3
344,1,3,26.0,9.69,1,0,0,0,1,0
345,1,1,28.0,113.42,0,1,1,0,0,1
346,0,3,31.0,27.56,0,1,0,0,1,0
347,0,2,27.0,9.89,0,1,0,0,1,0
348,1,1,59.0,72.21,0,1,1,0,0,0
349,0,1,46.0,195.8,0,1,0,0,1,1
350,0,2,41.0,9.11,1,0,0,0,1,0
351,0,3,45.0,23.8,1,0,0,0,1,7
352,1,2,4.0,31.34,1,0,0,0,1,3
353,0,2,28.0,13.15,1,0,0,0,1,0
354,0,3,34.0,10.53,0,1,0,0,1,0
355,0,3,24.0,7.47,0,1,0,0,1,0
356,0,1,5.0,71.09,1,0,1,0,0,0
357,1,2,53.0,26.67,1,0,0,0,1,1
358,1,2,3.0,31.65,1,0,0,0,1,3
359,0,3,22.0,29.18,0,1,0,0,1,0
360,1,3,64.0,9.39,1,0,0,0,1,0
361,0,2,60.0,5.84,0,1,0,0,1,0
362,0,1,22.0,29.86,0,1,0,0,1,1
363,1,2,63.0,28.27,0,1,0,0,1,0
364,1,2,30.0,9.95,1,0,0,0,1,0
365,0,3,44.0,22.09,0,1,0,0,1,0
366,0,2,20.0,10.01,0,1,0,0,1,0
367,0,3,1.0,72.48,0,1,0,0,1,2
368,0,2,69.0,24.78,0,1,0,0,1,0
369,0,3,23.0,26.02,0,1,0,0,1,4
370,0,1,52.0,12.15,0,1,0,0,1,0
371,0,3,42.0,11.62,0,1,0,0,1,2
372,0,3,24.0,9.18,1,0,1,0,0,0
373,0,3,3.0,33.07,0,1,0,0,1,2
374,0,3,36.0,9.15,0,1,0,0,1,0
375,1,3,52.0,11.34,1,0,0,0,1,0
376,0,1,46.0,8.68,0,1,0,0,1,0
377,1,3,1.0,29.53,0,1,0,0,1,3
378,1,1,49.0,32.82,0,1,1,0,0,1
379,0,3,29.0,7.41,0,1,1,0,0,0
380,1,1,62.0,106.06,0,1,0,0,1,2
381,0,3,29.0,9.47,0,1,0,0,1,0
382,0,2,2.0,26.79,0,1,1,0,0,3
383,1,3,25.0,30.98,1,0,1,0,0,2
384,1,3,43.0,11.57,1,0,0,0,1,0
385,1,2,72.0,29.58,1,0,1,0,0,0
386,0,1,71.0,171.25,1,0,0,1,0,0
387,0,3,63.0,9.39,0,1,0,0,1,0
388,1,1,50.0,21.7,1,0,1,0,0,1
389,1,1,55.0,173.34,1,0,0,1,0,0
390,0,3,20.0,9.57,0,1,0,0,1,0
391,0,3,8.0,8.22,1,0,0,0,1,3
392,0,3,48.0,5.95,0,1,0,0,1,0
393,1,2,38.0,29.14,1,0,0,0,1,0
394,1,3,1.0,26.75,1,0,0,0,1,3
395,1,2,62.0,12.55,1,0,0,0,1,2
396,0,1,43.0,66.76,0,1,0,0,1,0
397,0,1,40.0,7.07,0,1,0,0,1,0
398,1,2,44.0,22.3,0,1,0,0,1,0
399,1,2,37.0,28.91,1,0,1,0,0,2
400,0,3,56.0,29.89,0,1,0,0,1,2
401,1,2,33.0,28.87,1,0,0,1,0,1
402,0,3,30.0,32.14,0,1,0,0,1,1
403,1,3,54.0,28.21,1,0,1,0,0,3
404,0,1,11.0,22.89,0,1,0,0,1,0
405,0,3,29.0,7.5,1,0,0,0,1,0
406,0,2,62.0,24.11,0,1,0,0,1,0
407,0,3,61.0,9.12,0,1,0,0,1,0
408,0,2,26.0,34.66,0,1,0,0,1,0
409,0,1,53.0,75.08,1,0,0,0,1,3
410,0,3,40.0,12.51,0,1,0,0,1,0
411,1,2,61.0,10.66,1,0,0,0,1,0
412,1,2,40.0,10.2,1,0,1,0,0,0
413,1,2,64.0,31.74,1,0,0,0,1,2
414,0,2,66.0,26.43,0,1,0,0,1,0
415,1,2,0.75,34.37,1,0,0,0,1,3
416,1,2,44.0,23.88,0,1,0,0,1,1
417,0,3,19.0,6.44,0,1,0,0,1,0
418,0,3,26.0,11.94,0,1,0,0,1,0
419,1,1,42.0,48.17,0,1,0,0,1,0
420,0,3,38.0,10.09,0,1,0,0,1,0
421,0,2,9.0,27.61,1,0,0,0,1,1
422,0,3,16.0,8.68,0,1,0,0,1,0
423,1,3,30.0,67.38,0,1,0,0,1,0
424,1,2,56.0,10.76,1,0,0,0,1,1
425,0,3,57.0,11.33,0,1,0,0,1,2
426,1,3,69.0,10.19,1,0,0,0,1,0
427,1,1,37.0,139.39,0,1,0,0,1,0
428,1,2,2.0,36.51,1,0,0,0,1,2
429,1,1,51.0,230.75,1,0,1,0,0,0
430,1,3,12.0,32.65,1,0,1,0,0,6
431,0,3,32.0,10.03,0,1,0,0,1,0
432,1,1,55.0,30.78,1,0,0,1,0,0
433,0,1,68.0,110.12,1,0,0,1,0,2
434,1,2,60.0,25.75,0,1,0,0,1,1
435,1,3,61.0,29.36,1,0,0,0,1,0
436,0,3,54.0,26.3,0,1,0,0,1,0
437,0,3,51.0,7.79,0,1,0,0,1,0
438,1,3,66.0,69.5,1,0,0,0,1,0
439,1,1,56.0,12.53,1,0,1,0,0,0
440,0,2,39.0,26.21,0,1,0,0,1,0
441,0,3,65.0,23.24,0,1,0,0,1,0
442,1,3,24.0,9.38,1,0,0,0,1,0
443,0,3,42.0,12.86,0,1,0,0,1,0
444,1,1,0.5,32.83,1,0,0,0,1,2
445,0,3,7.0,12.47,0,1,0,0,1,0
446,1,1,59.0,78.86,1,0,1,0,0,1
447,1,2,80.0,30.21,1,0,1,0,0,1
448,0,3,60.0,8.91,1,0,0,0,1,0
449,0,3,29.0,10.86,1,0,0,0,1,3
451,0,3,24.0,11.83,0,1,0,0,1,0
452,0,3,24.0,8.24,0,1,0,0,1,0
453,0,3,10.0,28.21,1,0,0,0,1,0
454,1,1,53.0,93.32,1,0,0,1,0,0
455,0,1,27.0,22.69,0,1,1,0,0,2
456,0,1,20.0,96.52,0,1,0,0,1,4
457,0,3,27.0,9.94,0,1,0,0,1,1
458,0,3,43.0,9.52,0,1,0,0,1,0
459,0,1,68.0,50.29,0,1,0,0,1,0
460,1,2,11.0,29.17,1,0,0,0,1,2
461,0,3,1.0,30.65,0,1,0,0,1,3
462,0,3,28.0,8.25,0,1,0,0,1,0
463,0,3,5.0,26.57,1,0,0,0,1,3
464,0,3,44.0,21.7,0,1,0,0,1,0
465,0,1,50.0,25.24,1,0,0,0,1,2
466,1,3,13.0,28.66,1,0,0,0,1,1
467,0,2,50.0,11.68,0,1,0,0,1,0
468,0,2,45.0,10.75,0,1,0,0,1,0
469,0,3,41.0,7.05,1,0,0,0,1,0
470,0,1,44.0,125.78,0,1,0,0,1,3
471,1,1,62.0,14.18,1,0,1,0,0,0
472,1,3,30.0,5.26,1,0,1,0,0,0
473,0,1,52.0,145.04,1,0,0,0,1,2
474,0,3,40.0,28.45,0,1,0,0,1,2
475,1,2,26.0,8.43,0,1,0,0,1,3
476,0,1,56.0,73.44,0,1,1,0,0,3
477,0,3,23.0,9.23,0,1,0,0,1,0
478,0,3,53.0,9.99,0,1,0,0,1,0
479,0,2,25.0,5.12,0,1,0,0,1,0
480,0,3,42.0,9.93,0,1,0,0,1,0
481,0,1,27.0,27.33,0,1,0,0,1,2
482,0,3,18.0,11.66,1,0,0,0,1,4
483,1,1,25.0,90.57,0,1,0,0,1,2
484,1,3,60.0,11.32,1,0,1,0,0,0
485,0,2,31.0,13.33,0,1,0,0,1,1
487,1,3,54.0,11.15,0,1,0,0,1,0
488,0,3,54.0,30.04,0,1,0,0,1,2
489,0,1,34.0,28.63,1,0,0,0,1,0
490,1,1,55.0,24.98,1,0,0,0,1,0
491,1,2,3.0,37.73,1,0,0,0,1,0
492,0,1,35.0,26.83,0,1,0,0,1,1
493,0,3,40.0,9.65,0,1,0,0,1,0
494,0,1,54.0,93.75,1,0,0,0,1,0
495,0,3,3.0,31.21,0,1,1,0,0,2
496,0,3,29.0,13.24,0,1,0,0,1,0
497,0,2,56.0,8.5,0,1,0,0,1,0
498,0,2,74.0,16.37,1,0,0,0,1,0
499,0,1,44.0,75.68,1,0,1,0,0,1
501,0,1,25.0,56.73,0,1,0,0,1,4
502,1,1,25.0,28.38,0,1,0,0,1,4
503,1,1,19.0,30.95,0,1,1,0,0,3
504,1,1,37.0,79.69,1,0,1,0,0,1
505,1,3,65.0,28.36,1,0,0,0,1,0
506,0,2,36.0,13.4,1,0,0,0,1,0
507,0,2,29.0,33.46,0,1,0,0,1,0
508,1,2,62.0,33.65,1,0,1,0,0,2
509,1,2,44.0,8.77,1,0,1,0,0,0
510,0,2,41.0,7.97,0,1,0,0,1,0
511,0,3,4.0,32.7,1,0,1,0,0,2
512,1,3,9.0,8.82,0,1,0,0,1,0
513,1,2,38.0,30.35,1,0,0,0,1,0
514,1,1,49.0,9.33,1,0,0,0,1,1
515,0,2,40.0,7.47,0,1,0,0,1,0
516,0,3,19.0,27.5,0,1,0,0,1,2
518,0,3,21.0,12.99,0,1,1,0,0,0
519,0,3,66.0,12.78,1,0,0,0,1,0
520,1,2,15.0,9.0,1,0,0,1,0,0
521,0,2,51.0,13.4,0,1,0,0,1,0
522,1,3,61.0,28.1,0,1,0,0,1,0
523,1,2,62.0,32.05,1,0,1,0,0,1
524,1,2,26.0,21.63,1,0,1,0,0,0
525,0,1,31.0,78.26,1,0,1,0,0,0
526,0,3,25.0,6.66,0,1,0,0,1,0
527,0,3,55.0,6.09,0,1,0,0,1,0
528,0,3,34.0,11.75,0,1,0,0,1,0
529,1,2,46.0,27.82,1,0,0,0,1,0
530,0,1,47.0,10.47,0,1,0,0,1,1
531,0,2,66.0,29.48,1,0,0,0,1,1
532,0,2,23.0,9.43,0,1,0,0,1,0
533,0,3,34.0,11.57,0,1,0,0,1,4
534,0,3,23.0,3.32,0,1,0,0,1,0
535,0,2,62.0,25.5,0,1,0,0,1,0
536,0,1,70.0,212.25,0,1,0,1,0,1
537,1,2,48.0,36.9,1,0,1,0,0,0
538,0,1,1.0,86.14,1,0,0,0,1,3
539,0,3,24.0,8.95,0,1,0,0,1,0
540,1,1,22.0,157.0,1,0,1,0,0,2
541,0,1,66.0,28.03,0,1,0,1,0,1
542,1,2,41.0,19.67,1,0,1,0,0,1
